Sitio,Tipo,Elevation,Pair,harvested,Shannon_Index,Simpson_Index,Inv_Simpson_Index
AL-N,N,542,1,Yes,1.0397207708399179,0.625,2.6666666666666665
JZJ-C,C,520,1,Yes,0.6365141682948128,0.4444444444444444,1.7999999999999998
PM-N,N,449,2,Yes,1.3790231168254117,0.6587654320987655,2.930535455861071
PM-C,C,428,2,Yes,0.6365141682948128,0.4444444444444444,1.7999999999999998
LG-N,N,416,3,Yes,1.3321790402101223,0.72,3.571428571428571
LG-C,C,410,3,Yes,1.2817765361068187,0.614366729678639,2.593137254901961
AZ-N,N,351,4,Yes,1.351783994289646,0.7346938775510204,3.7692307692307696
AZ-C,C,356,4,Yes,1.4609707477218157,0.7469135802469136,3.951219512195122
DG-V,V,546,5,No,0,0,1
DG-N,N,504,6,Yes,0.8486855577264172,0.49382716049382713,1.975609756097561
DG-C,C,559,6,Yes,1.4270610433807247,0.7160493827160495,3.5217391304347827
LL-C,C,482,7,Yes,1.0397207708399179,0.625,2.6666666666666665
JZ-N,N,515,8,Yes,1.0397207708399179,0.625,2.6666666666666665
JZ-C,C,513,8,Yes,1.1482183165216704,0.6428296808919647,2.7997847147470396
LL-N,N,504,7,Yes,0.8675632284814612,0.5,2
FCAT-V2,V,490,9,No,1.6176667999633683,0.7750472589792061,4.445378151260505
FCAT-B2,B,500,9,No,0.8675632284814612,0.5,2
VC-N,N,333,10,Yes,1.6674619334292948,0.78125,4.571428571428571
VC-C,C,375,10,Yes,0.9502705392332347,0.5599999999999999,2.2727272727272725
PV-N,N,347,10,Yes,1.6715952780212544,0.7928994082840236,4.828571428571428
GP-C,C,338,11,Yes,0.6365141682948128,0.4444444444444444,1.7999999999999998
GP-N,N,355,11,Yes,1.6397063574156068,0.7822222222222222,4.591836734693877
FCAT-B3,B,420,12,No,0.6931471805599453,0.5,2
DG-B,B,535,6,No,1.5802363404761086,0.72,3.5714285714285716
FCAT-B1,B,470,13,No,1.3306600933628874,0.6328125,2.723404255319149
FCAT-V1,V,489,13,No,0.9502705392332347,0.5599999999999999,2.2727272727272725
FLL-V,V,356,14,No,1.699735798678605,0.7674003569303985,4.29923273657289
JS-N,N,342,14,Yes,1.4843373065495535,0.73,3.7037037037037033
DB-C,C,365,15,Yes,1.5867847075280475,0.7555555555555555,4.090909090909091
DB-N,N,377,15,Yes,1.9080368345090655,0.808641975308642,5.225806451612903
FLL-C,C,360,14,Yes,1.2130075659799042,0.65625,2.909090909090909
FLL-B,B,350,14,No,0.9184277849930977,0.5694444444444444,2.32258064516129
