"","agaspu","barpul","boapel","boapic","boaros","cralon","denebr","epiesp","hyatat","leplab","priach","prilatic","prisub","priwal","rhahae","rhiala","rhihor","scitsa","trajor"
"AL-N",0,0,0,0,0,0,0,0,0,0,28,1,1,2,0,0,0,0,0
"AZ-N",0,0,0,0,0,0,0,0,1,0,24,0,0,2,0,0,0,0,0
"DB-N",0,11,23,0,0,1,0,0,0,6,48,0,1,1,0,0,0,1,1
"DG-N",0,0,0,1,0,0,0,0,0,0,97,0,0,0,0,2,0,0,0
"GP-N",1,1,0,0,0,0,0,0,0,0,34,1,0,2,0,0,0,0,0
"JS-N",0,11,2,0,0,0,1,26,0,2,12,0,0,0,0,0,0,1,3
"JZ-N",1,0,0,0,0,0,0,0,0,2,23,0,2,0,0,2,0,0,0
"LG-N",0,2,4,0,0,0,0,0,0,1,53,0,0,0,0,0,0,6,5
"LL-N",0,0,0,0,0,0,0,3,0,0,56,0,0,0,0,0,0,0,0
"PM-N",0,0,0,0,0,0,0,0,0,0,44,0,6,0,0,1,0,0,2
"PV-N",0,4,1,0,0,0,0,0,0,0,67,0,0,2,1,0,1,0,0
"VC-N",0,0,0,0,1,0,0,0,0,0,67,0,0,2,0,1,0,0,0
